BANANA,FNMA15YRFXCF,2.875,1.025
BANANA,FNMA15YRFXCF,3.000,0.539
BANANA,FNMA15YRFXCF,3.125,0.047
BANANA,FNMA15YRFXCF,3.250,-1.130
BANANA,FNMA15YRFXCF,3.375,-1.635
BANANA,FNMA15YRFXCF,3.500,-2.419
BANANA,FNMA15YRFXCF,3.625,-2.490
BANANA,FNMA15YRFXCF,3.750,-3.030
BANANA,FNMA15YRFXCF,3.875,-3.465
BANANA,FNMA15YRFXCF,3.990,-3.408
BANANA,FNMA15YRFXCF,4.000,-3.932
BANANA,FNMA15YRFXCF,4.125,-3.854
BANANA,FNMA15YRFXCF,4.250,-4.022
BANANA,FNMA15YRFXCF,4.375,-4.205
BANANA,FNMA15YRFXCF,4.500,-4.277
BANANA,FNMA30YRFXCF,3.625,1.822
BANANA,FNMA30YRFXCF,3.750,0.706
BANANA,FNMA30YRFXCF,3.875,-0.012
BANANA,FNMA30YRFXCF,3.990,-0.631
BANANA,FNMA30YRFXCF,4.000,-0.828
BANANA,FNMA30YRFXCF,4.125,-1.493
BANANA,FNMA30YRFXCF,4.250,-2.222
BANANA,FNMA30YRFXCF,4.375,-2.789
BANANA,FNMA30YRFXCF,4.500,-3.289
BANANA,FNMA30YRFXCF,4.625,-3.877
BANANA,FNMA30YRFXCF,4.750,-4.434
BANANA,FNMA30YRFXCF,4.875,-5.060
BANANA,FNMA30YRFXCF,5.000,-5.821
BANANA,FNMA30YRFXCF,5.125,-6.452
BANANA,FNMA30YRFXCF,5.250,-7.013
BANANA,FNMA51ARMCF,2.375,0.981
BANANA,FNMA51ARMCF,2.500,0.653
BANANA,FNMA51ARMCF,2.625,0.167
BANANA,FNMA51ARMCF,2.750,-0.142
BANANA,FNMA51ARMCF,2.875,-0.583
BANANA,FNMA51ARMCF,3.000,-0.230
BANANA,FNMA51ARMCF,3.125,-0.653
BANANA,FNMA51ARMCF,3.250,-1.044
BANANA,FNMA51ARMCF,3.375,-1.890
BANANA,FNMA51ARMCF,3.500,-2.138
BANANA,FNMA51ARMCF,3.625,-2.095
BANANA,FNMA51ARMCF,3.750,-2.607
BANANA,FNMA51ARMCF,3.875,-2.749
BANANA,FNMA51ARMCF,4.000,-3.081
BANANA,FNMA51ARMCF,4.125,-3.349
BANANA,FNMA71ARMCF,2.500,1.001
BANANA,FNMA71ARMCF,2.625,0.648
BANANA,FNMA71ARMCF,2.750,0.224
BANANA,FNMA71ARMCF,2.875,0.711
BANANA,FNMA71ARMCF,3.000,0.251
BANANA,FNMA71ARMCF,3.125,-0.263
BANANA,FNMA71ARMCF,3.250,-1.097
BANANA,FNMA71ARMCF,3.375,-0.985
BANANA,FNMA71ARMCF,3.500,-1.763
BANANA,FNMA71ARMCF,3.625,-1.933
BANANA,FNMA71ARMCF,3.750,-2.198
BANANA,FNMA71ARMCF,3.875,-2.441
BANANA,FNMA71ARMCF,4.000,-2.647
BANANA,FNMA71ARMCF,4.125,-2.933
